index,Ikz2_0,Ikz2_995,Ikz2_4844,Ikz2_8757,Ikz2_12635,Ikz2_16102,Ikz2_19470,Uobr_0,Uobr_995,Uobr_4844,Uobr_8757,Uobr_12635,Uobr_16102,Uobr_19470,Uzp_0,Uzp_995,Uzp_4844,Uzp_8757,Uzp_12635,Uzp_16102,Uzp_19470,Iutz1_0,Iutz1_995,Iutz1_4844,Iutz1_8757,Iutz1_12635,Iutz1_16102,Iutz1_19470,Iutz2_0,Iutz2_995,Iutz2_4844,Iutz2_8757,Iutz2_12635,Iutz2_16102,Iutz2_19470,Usi_0,Usi_995,Usi_4844,Usi_8757,Usi_12635,Usi_16102,Usi_19470,Rsi_0,Rsi_995,Rsi_4844,Rsi_8757,Rsi_12635,Rsi_16102,Rsi_19470,Is_0,Is_995,Is_4844,Is_8757,Is_12635,Is_16102,Is_19470
14,1.830,1.830,1.825,1.820,1.810,1.805,1.795,0.697,0.696,0.694,0.693,0.692,0.693,0.692,2.799,2.737,2.746,2.623,2.621,2.591,2.599,21.910,21.310,21.505,16.500,15.815,15.653,15.490,23.090,19.050,18.100,17.958,17.815,15.925,14.035,3.850,3.860,3.870,3.900,3.930,3.860,3.820,508.800,500.119,491.437,495.273,499.109,517.582,507.970,6.172,6.112,6.106,6.100,6.094,6.088,6.040
15,1.825,1.825,1.820,1.805,1.805,1.800,1.795,0.693,0.684,0.680,0.654,0.652,0.644,0.641,2.492,2.378,2.263,1.797,1.779,1.740,1.732,18.000,20.385,20.310,15.230,14.480,12.735,10.990,19.830,18.748,17.665,16.540,16.700,16.025,15.350,3.950,3.960,3.970,4.010,4.040,3.970,3.940,509.000,499.900,490.800,494.909,499.018,516.491,511.990,6.216,6.112,6.110,6.108,6.106,6.104,6.020
17,1.825,1.825,1.820,1.805,1.800,1.800,1.795,0.699,0.696,0.693,0.691,0.690,0.689,0.687,2.843,2.804,2.764,2.481,2.465,2.351,2.333,22.870,22.085,20.475,14.550,14.353,14.155,14.075,19.130,19.970,19.420,16.480,15.490,14.500,14.220,3.860,3.890,3.920,3.960,4.000,3.920,3.880,504.300,497.878,491.455,494.691,497.927,512.291,505.330,6.256,6.196,6.170,6.144,6.118,6.092,6.080
18,1.825,1.825,1.820,1.805,1.800,1.800,1.800,0.699,0.697,0.696,0.695,0.695,0.696,0.695,2.887,2.851,2.852,2.755,2.748,2.740,2.749,18.650,20.295,17.905,15.515,14.270,14.700,14.390,20.550,19.725,18.900,17.460,17.415,17.370,16.235,3.850,3.880,3.880,3.910,3.930,3.870,3.820,508.700,500.314,491.928,495.182,498.436,518.291,509.990,6.172,6.072,6.075,6.078,6.081,6.084,6.030
19,1.830,1.830,1.825,1.810,1.800,1.800,1.800,0.696,0.693,0.689,0.684,0.684,0.683,0.682,2.579,2.514,2.448,1.956,1.940,1.926,1.912,20.530,20.100,19.980,15.540,13.988,12.435,12.325,22.870,18.750,16.895,16.540,16.300,15.800,15.300,3.920,3.940,3.950,3.980,4.000,3.940,3.890,508.500,500.487,492.473,495.882,499.291,517.982,516.480,6.080,6.048,6.040,6.032,6.024,6.016,5.970
20,1.830,1.830,1.825,1.805,1.800,1.795,1.795,0.698,0.697,0.691,0.694,0.694,0.695,0.695,2.922,2.869,2.870,2.784,2.772,2.751,2.758,22.720,22.200,21.445,14.745,14.668,14.590,14.295,20.210,18.290,21.245,16.585,17.445,16.935,14.475,3.670,3.700,3.710,3.730,3.750,3.690,3.640,484.600,487.710,490.819,491.946,493.073,484.728,480.440,6.488,6.376,6.383,6.390,6.397,6.404,6.300
22,1.825,1.825,1.820,1.805,1.805,1.805,1.800,0.693,0.689,0.686,0.675,0.663,0.658,0.655,2.509,2.443,2.377,2.017,1.885,1.740,1.732,18.070,22.170,20.755,18.398,16.040,15.250,14.460,20.030,18.950,17.870,17.320,16.940,14.925,12.910,3.820,3.840,3.850,3.890,3.920,3.860,3.820,507.600,499.673,491.746,494.910,498.073,511.855,505.730,6.212,6.188,6.165,6.142,6.119,6.096,6.050
23,1.825,1.825,1.825,1.810,1.810,1.805,1.800,0.697,0.696,0.696,0.695,0.694,0.695,0.695,2.799,2.754,2.764,2.700,2.700,2.694,2.703,20.600,20.545,20.950,17.838,14.725,13.503,12.280,24.120,21.270,19.250,17.170,16.365,15.918,15.470,3.760,3.790,3.780,3.810,3.840,3.780,3.730,491.700,492.287,492.873,495.828,498.782,492.346,487.440,6.408,6.308,6.315,6.322,6.329,6.336,6.240
24,1.825,1.825,1.820,1.810,1.805,1.805,1.800,0.699,0.699,0.698,0.699,0.698,0.699,0.699,3.151,3.141,3.133,3.100,3.106,3.103,3.109,20.380,20.580,18.918,17.255,15.335,14.665,14.625,21.770,18.215,16.980,16.765,16.445,16.125,13.885,3.780,3.840,3.900,3.940,3.980,3.920,3.880,508.300,500.850,493.400,496.946,500.491,518.946,520.370,6.188,6.060,6.041,6.022,6.003,5.984,5.920
26,1.825,1.825,1.820,1.810,1.800,1.795,1.790,0.699,0.699,0.698,0.698,0.698,0.699,0.698,2.852,2.825,2.808,2.755,2.755,2.751,2.766,11.388,20.010,18.003,15.995,15.820,15.645,15.110,24.020,22.420,20.540,18.670,16.930,15.137,13.379,3.920,3.980,3.980,4.030,4.080,4.020,3.970,508.900,501.414,493.928,497.628,501.327,519.927,520.130,6.068,5.900,5.889,5.878,5.867,5.856,5.820
27,1.830,1.830,1.825,1.810,1.805,1.805,1.790,0.701,0.699,0.698,0.697,0.696,0.697,0.696,2.931,2.887,2.843,2.685,2.676,2.626,2.623,17.740,20.095,19.365,18.555,16.975,15.780,15.155,19.400,18.480,18.270,18.135,18.000,17.788,17.575,3.970,4.020,4.030,4.070,4.100,4.040,3.980,509.900,502.141,494.382,497.928,501.473,520.146,519.730,5.924,5.908,5.894,5.880,5.866,5.852,5.820
